atom,id,url,file_line,code
Assignment As Value,18,https://github.com/WebKit/webkit/blob/e8c73206a09f734bc64f77d6275a727aa2811754/Tools/TestWebKitAPI/glib/WebKitGLib/TestMain.cpp#L56,TestMain.cpp#L56,"while ((fileName = g_dir_read_name(directory))){
    GUniquePtr<char> filePath(g_build_filename(directoryPath, fileName, nullptr));
    if (g_file_test(filePath.get(), G_FILE_TEST_IS_DIR))
        removeNonEmptyDirectory(filePath.get());
    else
        g_unlink(filePath.get());
}"
Assignment As Value,19,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/contrib/binutils/gas/config/tc-arm.c#L2566,tc-arm.c#L2566,(symbolP = md_undefined_symbol(name)) == NULL
Assignment As Value,20,https://github.com/gcc-mirror/gcc/blob/2201c33012d4c6dc522ddbfa97f5aa95a209e24d/gcc/ada/gcc-interface/trans.c#L1933,trans.c#L1933,(double_align = double_float_alignment) > 0
Assignment As Value,21,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/contrib/nvi/vi/vs_line.c#L239,vs_line.c#L239,SMAP_CACHE(tsmp = smp - 1)
Assignment As Value,22,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/contrib/nvi/vi/v_txt.c#L465,v_txt.c#L465,filec_redraw = hexcnt = showmatch = 0
Assignment As Value,23,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/usr.sbin/ppp/nat_cmd.c#L158,nat_cmd.c#L158,lremoteport = hremoteport = 0
Assignment As Value,24,https://github.com/gcc-mirror/gcc/blob/2201c33012d4c6dc522ddbfa97f5aa95a209e24d/gcc/reload.c#L2880,reload.c#L2880,"substed_operand[i] = recog_data.operand[i] = find_reloads_toplev(recog_data.operand[i], i, address_type[i], ind_levels, 0, insn, &address_reloaded[i])"
Assignment As Value,25,https://github.com/mongodb/mongo/blob/67f735e6705091659e2a8cf46a9285f09bcf749a/src/third_party/icu4c-57.1/source/i18n/collationkeys.cpp#L194,collationkeys.cpp#L194,return ok = FALSE;
Assignment As Value,26,https://github.com/gcc-mirror/gcc/blob/2201c33012d4c6dc522ddbfa97f5aa95a209e24d/libcpp/files.c#L320,files.c#L320,(pchdir = opendir(pchname)) != NULL
Assignment As Value,27,https://github.com/torvalds/linux/blob/f34157878d3b17641ad2366988600c23c89d98b2/drivers/isdn/hisax/l3dss1.c#L1787,l3dss1.c#L1787,!(skb = l3_alloc_skb(l))
Assignment As Value,28,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/contrib/llvm/tools/lldb/source/Commands/CommandObjectType.cpp#L2926,CommandObjectType.cpp#L2926,"if ((is_global_search = (m_command_options.m_language == eLanguageTypeUnknown))){
    languages.push_back(Language::FindPlugin(eLanguageTypeObjC));
    languages.push_back(Language::FindPlugin(eLanguageTypeC_plus_plus));
}else{
    languages.push_back(Language::FindPlugin(m_command_options.m_language));
}"
Assignment As Value,29,https://github.com/mysql/mysql-server/blob/0138556a55168da12eaf0bc3038947148d6b0863/libmysql/libmysql.c#L3196,libmysql.c#L3196,tm->minute = tm->second = 0
Assignment As Value,30,https://github.com/gcc-mirror/gcc/blob/2201c33012d4c6dc522ddbfa97f5aa95a209e24d/zlib/examples/gzlog.c#L354,gzlog.c#L354,"(fd = open(log->path, O_CREAT | O_EXCL, 0644)) < 0"
Assignment As Value,31,https://github.com/apache/httpd/blob/6fe234860d15c797f34bc9c0e290fd23a73233c7/server/mpm/motorz/motorz.c#L1421,motorz.c#L1421,<!!!>
Assignment As Value,32,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/sys/dev/hwpmc/hwpmc_mod.c#L3600,hwpmc_mod.c#L3600,"(error = copyin(arg, &a, sizeof (a))) != 0"
Assignment As Value,33,https://github.com/mozilla/gecko-dev/blob/dd47bee6468de7e1221b4d006342ad6b9813d0e5/caps/BasePrincipal.cpp#L209,BasePrincipal.cpp#L209,NS_IF_ADDREF(*aCSP = mCSP)
Assignment As Value,34,https://github.com/mongodb/mongo/blob/67f735e6705091659e2a8cf46a9285f09bcf749a/src/third_party/wiredtiger/src/log/log_slot.c#L525,log_slot.c#L525,closed = raced = slept = false
Assignment As Value,35,https://github.com/torvalds/linux/blob/f34157878d3b17641ad2366988600c23c89d98b2/drivers/net/ethernet/broadcom/b44.c#L449,b44.c#L449,"(err = b44_writephy(bp, B44_MII_ALEDCTRL, val & MII_ALEDCTRL_ALLMSK)) != 0"
Assignment As Value,36,https://github.com/mozilla/gecko-dev/blob/dd47bee6468de7e1221b4d006342ad6b9813d0e5/gfx/cairo/cairo/src/cairo-png.c#L87,cairo-png.c#L87,b[1] = b[2] = b[3] = 0
Assignment As Value,37,https://github.com/gcc-mirror/gcc/blob/2201c33012d4c6dc522ddbfa97f5aa95a209e24d/gcc/fortran/scanner.c#L768,scanner.c#L768,(c = next_char()) == ' '
Assignment As Value,38,https://github.com/torvalds/linux/blob/f34157878d3b17641ad2366988600c23c89d98b2/sound/oss/sequencer.c#L1660,sequencer.c#L1660,queue = iqueue = NULL
Assignment As Value,39,https://github.com/mozilla/gecko-dev/blob/dd47bee6468de7e1221b4d006342ad6b9813d0e5/security/nss/cmd/makepqg/makepqg.c#L192,makepqg.c#L192,(status = PL_GetNextOpt(optstate)) == PL_OPT_OK
Comma Operator,0,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/contrib/tcpdump/print-dccp.c#L558,print-dccp.c#L558,"ndo, ""%s optlen goes past header length"", tok2str(dccp_option_values, ""Option %u"", *option)"
Comma Operator,1,https://github.com/torvalds/linux/blob/f34157878d3b17641ad2366988600c23c89d98b2/drivers/media/tuners/mt2060.c#L228,mt2060.c#L228,"priv->frequency = (f_lo1 - f_lo2 - IF2) * 1000, num1 = f_lo1 / (FREF / 64)"
Comma Operator,2,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/contrib/llvm/tools/clang/lib/StaticAnalyzer/Checkers/NullabilityChecker.cpp#L183,NullabilityChecker.cpp#L183,"*BT, Msg, N"
Comma Operator,3,https://github.com///blob//#L122,#L122,"x, BOOST_PP_SEQ_ENUM_91"
Comma Operator,4,https://github.com/mozilla/gecko-dev/blob/dd47bee6468de7e1221b4d006342ad6b9813d0e5/js/src/jit/BaselineIC.h#L435,BaselineIC.h#L435,"space, getStubCode()"
Comma Operator,5,https://github.com/torvalds/linux/blob/f34157878d3b17641ad2366988600c23c89d98b2/arch/unicore32/kernel/hibernate.c#L85,hibernate.c#L85,"pgd++, pgd_idx++"
Comma Operator,6,https://github.com/WebKit/webkit/blob/e8c73206a09f734bc64f77d6275a727aa2811754/Tools/TestWebKitAPI/Tests/WTF/CheckedArithmeticOperations.cpp#L186,CheckedArithmeticOperations.cpp#L186,"resetOverflow(ovalue), ovalue.didCrash()"
Comma Operator,7,https://github.com/gcc-mirror/gcc/blob/2201c33012d4c6dc522ddbfa97f5aa95a209e24d/gcc/testsuite/gcc.dg/torture/pr70307.c#L61,pr70307.c#L61,"0, 0"
Comma Operator,8,https://github.com/llvm-mirror/clang/blob/2bcd2d052e5508c12374390e4a2d572988622caf/test/Sema/unused-expr.c#L95,unused-expr.c#L95,"(void)0, fn1()"
Comma Operator,9,https://github.com/torvalds/linux/blob/f34157878d3b17641ad2366988600c23c89d98b2/fs/xfs/libxfs/xfs_attr.c#L1252,xfs_attr.c#L1252,"blk++, level++"
Comma Operator,10,https://github.com/llvm-mirror/clang/blob/2bcd2d052e5508c12374390e4a2d572988622caf/lib/CodeGen/CGClass.cpp#L567,CGClass.cpp#L567,"EHCleanup, BaseClassDecl, isBaseVirtual"
Comma Operator,11,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/contrib/binutils/binutils/readelf.c#L5478,readelf.c#L5478,"i = 0, sec = section_headers"
Comma Operator,12,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/contrib/llvm/tools/lldb/source/Plugins/ObjectFile/ELF/ObjectFileELF.cpp#L1188,ObjectFileELF.cpp#L1188,"idx = 0, offset = 0"
Comma Operator,13,https://github.com/llvm-mirror/clang/blob/2bcd2d052e5508c12374390e4a2d572988622caf/lib/StaticAnalyzer/Checkers/SimpleStreamChecker.cpp#L133,SimpleStreamChecker.cpp#L133,"FileDesc, StreamState::getOpened()"
Comma Operator,14,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/contrib/subversion/subversion/libsvn_subr/utf_validate.c#L272,utf_validate.c#L272,"++data, --max_len"
Comma Operator,15,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/sys/dev/pms/RefTisa/tisa/sassata/common/tdport.c#L2564,tdport.c#L2564,"""tdsaParseLinkRateMode: OpticalMode off phy %d phyProperties 0x%x\n"", index, tdsaAllShared->Ports[index].agPhyConfig.phyProperties"
Comma Operator,16,https://github.com/mozilla/gecko-dev/blob/dd47bee6468de7e1221b4d006342ad6b9813d0e5/netwerk/cache2/CacheEntry.cpp#L1223,CacheEntry.cpp#L1223,"""CacheEntry::OpenOutputStream [this=%p]"", this"
Comma Operator,17,https://github.com/torvalds/linux/blob/f34157878d3b17641ad2366988600c23c89d98b2/drivers/staging/rtl8723bs/hal/rtl8723b_hal_init.c#L2427,rtl8723b_hal_init.c#L2427,"""<==Hal_GetChnlGroup8723B,  (%s) Channel = %d, Group =%d,\n"", bIn24G ? ""2.4G"" : ""5G"", Channel, *pGroup"
Comma Operator,18,https://github.com/mozilla/gecko-dev/blob/dd47bee6468de7e1221b4d006342ad6b9813d0e5/media/libvpx/libvpx/vp9/encoder/vp9_mbgraph.c#L308,vp9_mbgraph.c#L308,"offset = 0, mb_row = 0"
Comma Operator,19,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/sys/x86/iommu/intel_ctx.c#L743,intel_ctx.c#L743,"""unmap %p error %d"", domain, error"
Comma Operator,20,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/sys/dev/hyperv/netvsc/if_hn.c#L2900,if_hn.c#L2900,"""%u pktinfo overflows RNDIS packet msg"", pi_type"
Comma Operator,21,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/sys/contrib/dev/acpica/components/executer/exoparg1.c#L538,exoparg1.c#L538,"AE_INFO, ""Integer too large to convert to BCD: 0x%8.8X%8.8X"", ACPI_FORMAT_UINT64(Operand[0]->Integer.Value)"
Comma Operator,22,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/sys/dev/virtio/network/if_vtnet.c#L2932,if_vtnet.c#L2932,"""%s: too many rx mbufs %d for %d segments"", __func__, sc->vtnet_rx_nmbufs, sc->vtnet_rx_nsegs"
Comma Operator,23,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/contrib/llvm/tools/llvm-pdbutil/StreamUtil.cpp#L36,StreamUtil.cpp#L36,"DenseMap < uint16_t, DbiModuleDescriptor > ModStreams"
Comma Operator,24,https://github.com/mozilla/gecko-dev/blob/dd47bee6468de7e1221b4d006342ad6b9813d0e5/dom/plugins/base/nsNPAPIPluginInstance.cpp#L323,nsNPAPIPluginInstance.cpp#L323,"""NPP New called: this=%p, npp=%p, mime=%s, argc=%d, return=%d\n"", this, &mNPP, mimetype, quirkParamLength, error"
Comma Operator,25,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/contrib/tcpdump/print-atalk.c#L143,print-atalk.c#L143,"ndo, "" [|ddp]"""
Comma Operator,26,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/sys/x86/iommu/intel_idpgtbl.c#L508,intel_idpgtbl.c#L508,"""modifying idmap pagetable domain %p"", domain"
Comma Operator,27,https://github.com/WebKit/webkit/blob/e8c73206a09f734bc64f77d6275a727aa2811754/Source/ThirdParty/ANGLE/src/libANGLE/renderer/d3d/d3d11/winrt/SwapChainPanelNativeWindow.cpp#L200,SwapChainPanelNativeWindow.cpp#L200,"sizeChangedHandler.ReleaseAndGetAddressOf(), this->shared_from_this()"
Comma Operator,28,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/sys/dev/pccard/pccard_cis.c#L774,pccard_cis.c#L774,"count = 0, start = 0, i = 0"
Comma Operator,29,https://github.com/gcc-mirror/gcc/blob/2201c33012d4c6dc522ddbfa97f5aa95a209e24d/gcc/testsuite/g++.old-deja/g++.bugs/900428_01.C#L88,900428_01.C#L88,"(void)1, r"
Comma Operator,30,https://github.com/emacs-mirror/emacs/blob/cb73c70180f57f3fb99fae3aaefbacf0a61cea3f/src/xterm.c#L1907,xterm.c#L1907,"i = 0, j = s->cmp_from"
Comma Operator,31,https://github.com/torvalds/linux/blob/f34157878d3b17641ad2366988600c23c89d98b2/arch/x86/net/bpf_jit_comp.c#L1147,bpf_jit_comp.c#L1147,"proglen = 0, i = 0"
Comma Operator,32,https://github.com/mongodb/mongo/blob/67f735e6705091659e2a8cf46a9285f09bcf749a/src/third_party/mozjs-45/extract/js/src/jsstr.cpp#L4291,jsstr.cpp#L4291,"cx, v.toDouble()"
Comma Operator,33,https://github.com/gcc-mirror/gcc/blob/2201c33012d4c6dc522ddbfa97f5aa95a209e24d/gcc/cgraph.c#L1473,cgraph.c#L1473,"parm = DECL_ARGUMENTS(old_decl), num = 0"
Comma Operator,34,https://github.com/mysql/mysql-server/blob/0138556a55168da12eaf0bc3038947148d6b0863/sql/ndb_local_connection.cc#L312,ndb_local_connection.cc#L312,"""error: %d"", error"
Comma Operator,35,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/sys/netgraph/ng_ksocket.c#L1035,ng_ksocket.c#L1035,"""%s: wrong socket"", __func__"
Comma Operator,36,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/contrib/gcclibs/libcpp/traditional.c#L1045,traditional.c#L1045,"src++, len--"
Comma Operator,37,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/contrib/nvi/vi/v_txt.c#L2184,v_txt.c#L2184,"ac = argc, av = argv, colwidth = 0"
Comma Operator,38,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/sys/x86/include/bus.h#L938,bus.h#L938,"addr1 += 2 * (count - 1), addr2 += 2 * (count - 1)"
Comma Operator,39,https://github.com/mongodb/mongo/blob/67f735e6705091659e2a8cf46a9285f09bcf749a/src/mongo/dbtests/query_stage_and.cpp#L439,query_stage_and.cpp#L439,"&_opCtx, &ws, coll, 20 * big.size()"
Conditional,0,https://github.com/mozilla/gecko-dev/blob/dd47bee6468de7e1221b4d006342ad6b9813d0e5/parser/html/nsHtml5StreamParser.cpp#L911,nsHtml5StreamParser.cpp#L911,mMode == LOAD_AS_DATA ? false : mExecutor->IsScriptEnabled()
Conditional,1,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/contrib/llvm/lib/Target/Hexagon/HexagonInstrInfo.cpp#L1242,HexagonInstrInfo.cpp#L1242,(Rd == Rt) ? K1 : 0
Conditional,2,https://github.com/mozilla/gecko-dev/blob/dd47bee6468de7e1221b4d006342ad6b9813d0e5/toolkit/components/protobuf/src/google/protobuf/wrappers.pb.cc#L2134,wrappers.pb.cc#L2134,::google::protobuf::internal::GetProto3PreserveUnknownsDefault() ? _internal_metadata_.unknown_fields() : _internal_metadata_.default_instance()
Conditional,3,https://github.com/WebKit/webkit/blob/e8c73206a09f734bc64f77d6275a727aa2811754/Source/WebCore/rendering/InlineFlowBox.h#L245,InlineFlowBox.h#L245,"m_overflow ? m_overflow->visualOverflowRect() : enclosingLayoutRect(frameRectIncludingLineHeight(lineTop, lineBottom))"
Conditional,4,https://github.com/torvalds/linux/blob/f34157878d3b17641ad2366988600c23c89d98b2/drivers/media/pci/bt8xx/bttv-cards.c#L3147,bttv-cards.c#L3147,"btv->has_radio ? ""yes"" : ""no"""
Conditional,5,https://github.com/torvalds/linux/blob/f34157878d3b17641ad2366988600c23c89d98b2/drivers/media/usb/dvb-usb-v2/lmedm04.c#L625,lmedm04.c#L625,(ret < 0) ? -ENODEV : 0
Conditional,6,https://github.com/mozilla/gecko-dev/blob/dd47bee6468de7e1221b4d006342ad6b9813d0e5/dom/base/nsINode.cpp#L998,nsINode.cpp#L998,pos1 < pos2 ? (nsIDOMNode::DOCUMENT_POSITION_PRECEDING | nsIDOMNode::DOCUMENT_POSITION_CONTAINS) : (nsIDOMNode::DOCUMENT_POSITION_FOLLOWING | nsIDOMNode::DOCUMENT_POSITION_CONTAINED_BY)
Conditional,7,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/contrib/llvm/lib/CodeGen/SelectionDAG/LegalizeVectorOps.cpp#L457,LegalizeVectorOps.cpp#L457,Op.getOpcode() == ISD::UINT_TO_FP ? ISD::ZERO_EXTEND : ISD::SIGN_EXTEND
Conditional,8,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/contrib/llvm/tools/lldb/source/API/SBStructuredData.cpp#L72,SBStructuredData.cpp#L72,m_impl_up ? m_impl_up->GetType() : eStructuredDataTypeInvalid
Conditional,9,https://github.com/WebKit/webkit/blob/e8c73206a09f734bc64f77d6275a727aa2811754/Source/WebCore/editing/EditorCommand.cpp#L233,EditorCommand.cpp#L233,"a.compareBoundaryPoints(Range::END_TO_END, b).releaseReturnValue() <= 0 ? b : a"
Conditional,10,https://github.com/torvalds/linux/blob/f34157878d3b17641ad2366988600c23c89d98b2/drivers/pcmcia/soc_common.c#L446,soc_common.c#L446,"events == 0 ? ""<NONE>"" : """""
Conditional,11,https://github.com/gcc-mirror/gcc/blob/2201c33012d4c6dc522ddbfa97f5aa95a209e24d/gcc/cfgcleanup.c#L980,cfgcleanup.c#L980,"reload_completed ? rtx_renumbered_equal_p(e1, e2) : rtx_equal_p(e1, e2)"
Conditional,12,https://github.com/gcc-mirror/gcc/blob/2201c33012d4c6dc522ddbfa97f5aa95a209e24d/gcc/testsuite/gcc.dg/Wsign-compare-1.c#L8,Wsign-compare-1.c#L8,x ? y : -1
Conditional,13,https://github.com/mysql/mysql-server/blob/0138556a55168da12eaf0bc3038947148d6b0863/sql/spatial.cc#L359,spatial.cc#L359,has_srid ? SRID_SIZE : 0
Conditional,14,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/contrib/llvm/tools/clang/lib/Serialization/ASTReaderDecl.cpp#L2948,ASTReaderDecl.cpp#L2948,ED->getASTContext().getLangOpts().CPlusPlus ? ED->getDefinition() : nullptr
Conditional,15,https://github.com/torvalds/linux/blob/f34157878d3b17641ad2366988600c23c89d98b2/drivers/rtc/rtc-stk17ta8.c#L150,rtc-stk17ta8.c#L150,pdata->alrm_mday < 0 || (pdata->irqen & RTC_UF) ? 0x80 : bin2bcd(pdata->alrm_mday)
Conditional,16,https://github.com/mozilla/gecko-dev/blob/dd47bee6468de7e1221b4d006342ad6b9813d0e5/third_party/aom/third_party/libwebm/mkvmuxer/mkvmuxer.cc#L3221,mkvmuxer.cc#L3221,mode_ == kLive ? accurate_cluster_duration_ : true
Conditional,17,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/sys/dev/usb/controller/ohci.c#L888,ohci.c#L888,(cc == 0) ? USB_ERR_NORMAL_COMPLETION : (cc == OHCI_CC_STALL) ? USB_ERR_STALLED : USB_ERR_IOERROR
Conditional,18,https://github.com/torvalds/linux/blob/f34157878d3b17641ad2366988600c23c89d98b2/arch/mips/sgi-ip22/ip22-gio.c#L170,ip22-gio.c#L170,(len >= PAGE_SIZE) ? (PAGE_SIZE - 1) : len
Conditional,19,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/contrib/binutils/gas/config/tc-arm.c#L5914,tc-arm.c#L5914,(found & 4) ? 16 : found | 4
Conditional,20,https://github.com/torvalds/linux/blob/f34157878d3b17641ad2366988600c23c89d98b2/drivers/watchdog/xen_wdt.c#L190,xen_wdt.c#L190,"copy_to_user(argp, &ident, sizeof (ident)) ? -EFAULT : 0"
Conditional,21,https://github.com/torvalds/linux/blob/f34157878d3b17641ad2366988600c23c89d98b2/drivers/net/wireless/intersil/orinoco/hw.c#L1138,hw.c#L1138,(priv->port_type == 3) ? HERMES_RID_CNFOWNSSID : HERMES_RID_CNFDESIREDSSID
Conditional,22,https://github.com/mozilla/gecko-dev/blob/dd47bee6468de7e1221b4d006342ad6b9813d0e5/media/ffvpx/libavcodec/codec_desc.c#L2988,codec_desc.c#L2988,desc ? desc->type : AVMEDIA_TYPE_UNKNOWN
Conditional,23,https://github.com/mozilla/gecko-dev/blob/dd47bee6468de7e1221b4d006342ad6b9813d0e5/parser/expat/lib/xmlparse.c#L5114,xmlparse.c#L5114,dtd->standalone ? !openInternalEntities : !dtd->hasParamEntityRefs
Conditional,24,https://github.com/mongodb/mongo/blob/67f735e6705091659e2a8cf46a9285f09bcf749a/src/mongo/db/ops/write_ops_exec.cpp#L111,write_ops_exec.cpp#L111,serverGlobalParams.sampleRate == 1.0 ? true : opCtx->getClient()->getPrng().nextCanonicalDouble() < serverGlobalParams.sampleRate
Conditional,25,https://github.com/llvm-mirror/clang/blob/2bcd2d052e5508c12374390e4a2d572988622caf/lib/AST/DeclObjC.cpp#L655,DeclObjC.cpp#L655,SuperClass ? SuperClass->lookupNestedProtocol(Name) : nullptr
Conditional,26,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/sys/dev/mwl/mwlhal.c#L1142,mwlhal.c#L1142,(chw == MWL_CH_20_MHz_WIDTH) ? &mh->mh_20M : &mh->mh_40M
Conditional,27,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/usr.sbin/ppp/probe.c#L74,probe.c#L74,ipv6_available() ? 1 : 0
Conditional,28,https://github.com/mozilla/gecko-dev/blob/dd47bee6468de7e1221b4d006342ad6b9813d0e5/layout/base/nsLayoutUtils.cpp#L5054,nsLayoutUtils.cpp#L5054,isHorizontalAxis ? styleBorder->GetComputedBorder().LeftRight() : styleBorder->GetComputedBorder().TopBottom()
Conditional,29,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/sbin/dhclient/options.c#L580,options.c#L580,length > 255 ? 255 : length
