Subject,Date,Order,start1,end1,start2,end2,start3,end3,start4,end4,A,B,C,D,E,F,G,H
8223,7/5/2016,bhce,13:34,13:40,13:40,13:55,13:55,14:06,14:06,14:12,,!,"a: 2 2 0 0
!",,"a: -1 -2 0 0
b: 0
d",,,"a: 1 0
b: 1 1
a: 0 0
b: 0 1
4: 64
4: 32
d"
8273,6/20/2016,fadg,10:00,10:08,10:09,10:14,10:14,10:20,10:21,10:39,!,,,"a: 2 2 0 0
c: 2 0 2 1
d: 2
a: 3 3 2 2
c: 3 0 16 0
e",,"a: -1 -2 0 0.00
a: -1 -1 0 0.00
a: -1 -1 0 0.00
a: -1 -1 0 0.00
a: -1 -1 0 0.00
a: -1 -1 0 0.00
a: -1 -1 0 0.00 
a: -1 -1 0 0.00
a: -1 -1 0 0.00
a: -1 -1 0 0.00","a: 1 0
a: 0 0
a: 0 0
a: 0 0
a: 0 0
a: 0 0
a: 0 0
a: 0 0
a: 0 0
a: 0 0",
8317,6/28/2016,agdf,14:34,14:48,14:48,15:11,15:11,15:28,15:28,15:44,c,,,"a: 2 2 0 0
c: 2 0 2 0
a: 3 3 0 1
c: 3 0 3 1
e",,"a: -1 -2 0 ?
a: -2 -1 0 ?
a: -3 -1 -3 ?
a: -4 -1 -4 ?
a: -1 0 -4 ?","a: 1 0
c: 1 1
d",
8755,6/29/2016,hdae,12:35,12:59,13:00,13:12,13:12,13:14,13:14,13:19,!,,,"a: 2 2 0 0
b: 2
c: 1 4 1 0
d: 1","a: -1 -2 0 0
a: -1 -1 -1 0
!",,,"a: 1 0
b: 1 1
a: 0 0
a: 32
!"
8782,6/13/2016,dfga,15:30,15:48,15:48,15:56,15:56,16:11,16:12,16:20,X,,,"a: 2 2 0 0
c: 2 0 2 0
a: 3 3 2 1
c: 3 0 19 0
e",,"a: -1 -2 0 ?
b: ?
d","a: 1 0
!",
9072,6/28/2016,fbgc,10:36,10:54,10:55,11:07,11:07,11:12,11:12,11:20,,"a: 0 zy 1
b: 1 zx 1
a: 0 zz 1
b: 1 zy 1
c","a: 2 2 0 0
a: 2 0 0 1
b: 2
c",,,"a: -1 -2 0 0
a: -1 -1 0 0
a: -1 0 0 0
b: c
c: -2 0 0 1 1
b: b
c: -2 -1 0 0 0
b: a
d","a: 1 0
!",
9336,6/24/2016,fgad,14:09,14:29,14:29,14:48,14:48,14:53,14:53,15:02,c,,,"a: 2 2 0 0
c: 2 0 0 0
a: 3 3 0 1
c: 3 0 0 1
c: 3 0 0 2
d: 3
e",,"a: -1 -2 0 0.0
a: -1 -1 0 0.0
a: -1 0 0 0.0
b: c
c: -1 0 0 1.0 1
b: b
c: -2 -1 0 0.0 0
b: a
d","a: 1 0
b: 64
a: 0 0
b: 64
!",
9432,7/7/2016,ehda,16:05,16:15,16:15,16:30,16:30,16:45,16:45,16:50,"a: 0 zy 1
b: 1 zy 1",,,"a: 2 2 0 0
c: 2 0 2 1
d: 2
a: 3 3 0 2
c: 3 0 3 1
b: 3
c: 3 0 0 3
a: 3 0 0 4","a: -1 -2 0 0
a: -2 -1 -2 0
b: -1 -1
!",,,"a: 1 0
b: 1 1
a: 0 0
a: 1 0
b: 1 1
a: 0 0
a: 1 0
b: 1 1
a: 0 0
a: 1 0"
9492,6/14/2016,bche,13:59,14:08,14:08,14:16,14:17,14:25,14:25,14:27,,"a: 0 azy 1
b: 0","a: 1 1 0 0
a: 1 0 0 1",,a: -1 -2 0 0.0,,,"a: 1 0
b: 1 1
a: 0 0
2: 0
d"
9582,7/5/2016,hbec,11:33,11:44,11:44,11:47,11:48,11:52,11:52,11:55,,X,"a: 2 2 0 0
!",,"a: -1 -2 0 ?
!",,,"a: 1 0
b: 1 1
a: 0 0
a: 0 0
a: 0 0
a: 0 0
a: 0 0
a: 0 0
a: 0 0
a: 0 0"
9733,7/5/2016,bech,20:10,20:22,20:23,20:29,20:33,20:50,20:51,21:14,,"a: 0 zy 1
b: 1 zy 1
a: 0 y 1
b: 1 y 1
c","a: 2 2 0 0
a: 3 3 0 1
c",,"a: -1 -2 0 0.0
c
d",,,"a: 1 0
b: 1 1
a: 0 0
2: 510
4: 32
d"
9998,6/30/2016,hfac,21:33,21:53,21:53,22:05,22:05,22:11,22:11,22:20,!,,"a: 2 0 0 0
b: 1
c",,,"a: -1 -2 0 0
b: c
d",,"a: 1 0
a: 0 0
b: 0 1
4: 64
!"
