subject,start_offset,end_offset,code,text
4168,7295,7355,Unfamiliar Syntax,I'm pretty sure I've never seen this syntax used in practice
4168,7402,7468,Javascript, I know like JavaScript people do and stuff like that all the time
4168,7374,7469,Sure, I'm sure it's valid because I know like JavaScript people do and stuff like that all the time.
4168,7311,7521,Inferring semantics from other language,"I've never seen this syntax used in practice, although I'm sure I'm sure it's valid because I know like JavaScript people do and stuff like that all the time. Uh, I don't, I've never seen that used in C before."
4168,7311,7521,Not Previously Seen,"I've never seen this syntax used in practice, although I'm sure I'm sure it's valid because I know like JavaScript people do and stuff like that all the time. Uh, I don't, I've never seen that used in C before."
4168,7843,7875,Python,python that would become a tuple
4168,7849,8001,Inferring Semantics from Reasoning," that would become a tuple, but in C that doesn't, that wouldn't fly because V1 has been declared as an integer, so it can't possibly be a pair or tuple"
4168,8008,8074,C vs C++," I'm saying pair that's a C++ construct, but you know what I mean."
4168,8161,8210,Not Previously Seen, I've never actually seen anybody write like this
4168,8133,8403,Previously Seen," in Javascript, um, although I've never actually seen anybody write like this, I have seen like the closure compiler take multiple statements and shove them together into a, a, a statement that looks like this where you have multiple statements in one set of parentheses"
4168,8405,8491,Unsure,"but I'm not sure if C does the same thing. So I actually, I actually don't really know"
4168,8137,8491,Javascript,"Javascript, um, although I've never actually seen anybody write like this, I have seen like the closure compiler take multiple statements and shove them together into a, a, a statement that looks like this where you have multiple statements in one set of parentheses, but I'm not sure if C does the same thing. So I actually, I actually don't really know"
4168,8977,9090,Quote,"Okay. So I don't see any weird syntax going. Well not weird. I don't see any, not commonly used syntax this time."
4168,8977,9090,Uncommon pattern,"Okay. So I don't see any weird syntax going. Well not weird. I don't see any, not commonly used syntax this time."
4168,8983,9090,Snippet Value Judgement,"So I don't see any weird syntax going. Well not weird. I don't see any, not commonly used syntax this time."
4168,9344,9399,Surprising comment,"we get to the, if statement, a V1 is not used in there."
4168,9400,9509,Unsure,"So that's just 10, module 3, which is 1, right? Yeah, I think the math is what I'm least confident about here"
4168,9454,9561,Math is easy or hard,"I think the math is what I'm least confident about here. I don't know. It's, it's weird. I can do math now."
4168,9604,9661,Mental Model, I know C doesn't really have true and false but true-ish
4168,9604,9661,Sure, I know C doesn't really have true and false but true-ish
4168,9568,9662,Boolean Value of Integer,"Anyway, 1 does evaluate to true-ish. I know C doesn't really have true and false but true-ish."
4168,8942,9702,Modulus,"Subject:            00:11:15       Okay. So I don't see any weird syntax going. Well not weird. I don't see any, not commonly used syntax this time. Once again just printing out one Integer V1. So we only have to figure out what V1. And that's the only variable here. So yup, it's only mentioned three times. Okay. All right. So this has to be evaluated forward. So Initially V1 equals 0 and then when we get to the, if statement, a V1 is not used in there. So that's just 10, module 3, which is 1, right? Yeah, I think the math is what I'm least confident about here. I don't know. It's, it's weird. I can do math now. Okay. Anyway, 1 does evaluate to true-ish. I know C doesn't really have true and false but true-ish. So V1 does become 4 because 10 is true."
4168,9739,9849,Tautological Reasoning,"And then the else statement, we can skip over that because the of the if statement because that's how it works"
4168,9919,9967,Double Check, if we kind of check that going backwards as you
4168,10700,10745,Non-standard terminology,a compiler would just short short that into 1
4168,11283,11498,Dependency," And then, because that statement doesn't depend on any other value, right? V1 equals 4 is just 4. There's no, there's no referencing any other value, then I, then I can stop there and just say, okay, so it equals 4"
4168,10321,11520,Comprehension Technique,"Um, yeah, once again, I mean this time you with this kind of code, you can't really go back. You can't really work backward because as you're working backward, you don't know which of these statements is going to get executed, but what I can do is kind of like a compiler would I know that you have a constant value right here with the 10 modulo 3, those are constant. So I know a compiler would just short short that into 1 and that I know a compiler would see, oh well there's a constant there so we can just kind of only take the statement inside the if block, um, and just forget about everything else because the compiler would know that the rest of the code is unreachable. And then from there I can work backwards and I can say, okay, well we need a V1 in order to have an output. That's what we're outputting. Okay. What was the last statement that changed V1? And I go up here to V1 equals 4. And Remember The V1 equals 8 has been kind of erased. Right? And then, because that statement doesn't depend on any other value, right? V1 equals 4 is just 4. There's no, there's no referencing any other value, then I, then I can stop there and just say, okay, so it equals 4, uh, on the, on hand."
4168,10321,11520,Compiler Optimizations,"Um, yeah, once again, I mean this time you with this kind of code, you can't really go back. You can't really work backward because as you're working backward, you don't know which of these statements is going to get executed, but what I can do is kind of like a compiler would I know that you have a constant value right here with the 10 modulo 3, those are constant. So I know a compiler would just short short that into 1 and that I know a compiler would see, oh well there's a constant there so we can just kind of only take the statement inside the if block, um, and just forget about everything else because the compiler would know that the rest of the code is unreachable. And then from there I can work backwards and I can say, okay, well we need a V1 in order to have an output. That's what we're outputting. Okay. What was the last statement that changed V1? And I go up here to V1 equals 4. And Remember The V1 equals 8 has been kind of erased. Right? And then, because that statement doesn't depend on any other value, right? V1 equals 4 is just 4. There's no, there's no referencing any other value, then I, then I can stop there and just say, okay, so it equals 4, uh, on the, on hand."
4168,11557,11605,Double Check,Working forward is also gives me the same answer
4168,12252,12470,Amusement,"[Laughter] So yeah. Okay. Um, we're putting one, we're outputting one integer, and uh, what I was just chuckling at was the, if block here where the conditional says V2 equals one with the assignment operator in there."
4168,13246,13552,Double Check,"Now working forward, uh, we have V1 equals 0, V2 equals 2. And then,

Subject:            00:16:59       uh, yeah, V2 does equal 1 and it would go into the if Block V1 equals 3. And then we skip over the else block and at the end V1 does equal 3. And that is the same answer that I got when going backward."
4168,13885,13976,Reasoning by Parts,Like I know how assignment works. I know how if statements work and I know how printf works
4168,14036,14104,Attribution of Confusion, I couldn't quite remember whether macros get evaluated first or not
4168,13977,14201,Remember," So there's nothing in here unlike any other question where I couldn't quite remember whether macros get evaluated first or not, or any other other question where they had that new syntax that I had not seen used in C before"
4168,13978,14325,Unsure,"So there's nothing in here unlike any other question where I couldn't quite remember whether macros get evaluated first or not, or any other other question where they had that new syntax that I had not seen used in C before. Like that kind of thing. If I don't, I'm not. If I'm not sure how that works then I'm not going to be 100 percent positive"
4168,13844,14326,Sure,"Subject:            00:17:45       Yeah. Like I know how assignment works. I know how if statements work and I know how printf works. So there's nothing in here unlike any other question where I couldn't quite remember whether macros get evaluated first or not, or any other other question where they had that new syntax that I had not seen used in C before. Like that kind of thing. If I don't, I'm not. If I'm not sure how that works then I'm not going to be 100 percent positive."
4168,13844,14326,printf,"Subject:            00:17:45       Yeah. Like I know how assignment works. I know how if statements work and I know how printf works. So there's nothing in here unlike any other question where I couldn't quite remember whether macros get evaluated first or not, or any other other question where they had that new syntax that I had not seen used in C before. Like that kind of thing. If I don't, I'm not. If I'm not sure how that works then I'm not going to be 100 percent positive."
4168,14566,14715,Few things," Uh, we're only out putting one variable here and thats V1 and there's only one statement that sets V1. So that means V1 equals 2 plus 3 is in fact 5"
4168,14730,14754,Double Check,And then working forward
4168,15295,15332,Dependency,That is V2 V2's a value depends on V1
4168,15516,15554,Double Check,and working backwards. Yeah that works
4168,17893,17938,Learned by Reading Book,
4168,18553,18746,Value of Different Programming Languages,
4168,18921,19057,PowerShell,
4168,19194,19297,Social Context of Code,
4168,19539,19559,Open Source Software,
4168,20020,20180,Unsure,
4168,20021,20181,Professional vs Academic,
4168,20116,20446,Tooling,
4168,20483,20782,Tooling,
4168,20587,20782,Custom Environments,
4168,20884,21064,Professional vs Academic,
4168,20832,21286,Would RTFM,
4168,21437,21801,Professional vs Academic,
4168,21833,22015,Learned by Reading Book,
4168,22233,22312,Potential Confusing Constructs,
4168,22325,22357,Potential Confusing Constructs,
4168,22441,22503,Emotional Aspect,
4168,21834,22504,Experienced vs Inexperienced,
4168,22730,22787,Action Script,
4168,22812,23035,Pascal,
4168,23205,23356,Value of Different Programming Languages,
4168,23205,23356,Java,
4168,23205,23356,Fortran,
4168,23915,23961,PHP,
4168,24043,24133,Action Script,
4168,24043,24133,Javascript,
4168,24516,24667,Python,
4168,24694,24787,PowerShell,
4168,24993,25032,PowerShell,
4168,25133,25212,PowerShell,
4168,25116,25213,Amusement,
4168,25422,25602,Learned by Programming,
4168,25422,25602,Python,
4168,25712,25968,Social Context of Code,
4168,25712,25968,Javascript,
4168,25712,25968,Learned by Reading Book,
4168,26005,26068,Learned by Reading Book,
4168,26005,26068,PHP,
4168,26105,26165,Python,
4168,26202,26212,Javascript,
4168,26835,27082,Bash,
4168,28259,28301,Comprehension Technique, it's more a reading technique for reading
4168,28175,28350,Writing vs Reading,"Well, I don't think I used, well I kind of use it for writing code too actually, but it's more a reading technique for reading and also checking code and then optimizing code."
4168,28260,28350,Performance Optimization,it's more a reading technique for reading and also checking code and then optimizing code.
4168,28367,28647,Dependency,when I work backwards I know exactly what the result needs to be or at least I know that data type of the result and then I can go back and see which statements affect the result and then I can sort of build a tree to see which statements affect statements that affect the result.
4168,28679,28834,Cognitive Load,"I mean there's a limit to how many I can keep track of at a time, but that's why I like to write smaller functions rather than giant functions that do many"
4168,28749,28902,Maintainability,"that's why I like to write smaller functions rather than giant functions that do many, many things, which is also nice because then more that's reusable."
4168,28917,28980,Maintainability,this allows me to see if I've written something that's useless.
4168,29024,29283,Design Concerns,"That's never gonna have any effect on the result because that's all we care about when we're writing a function where we only really care about its output or its return value or in a case of this, whatever value is printing out, we only care about the output."
4168,29667,30056,Top-down comprehension,"It's useful I think because you get an idea of what the author's intentions were, right? Uh, when I read code I, well there's not a lot of intention to read from this, but if I'm reading a code in the wild, the first thing I try to do is not understand what the code is doing, but understand what the author intended the code to do a just in case those two are not actually the same thing."
4168,30093,30199,Bottom-up comprehension,"And if I'm ever unclear on the intention, uh, I may go ahead and just figure out what the code does anyway"
4168,30201,30316,Communication,"Um, but oftentimes I will, if I have the opportunity to, I'll ask the author, what is the purpose of this function?"
4168,30431,30439,Comment,comments
4168,30335,30544,Top-down writing,"Right now when I'm writing code, the approach that I usually take involves actually writing out comments first, uh, to outline the algorithm and what it's going to do. And then I go back and write the code in."
4168,29667,30932,Author Intention,"It's useful I think because you get an idea of what the author's intentions were, right? Uh, when I read code I, well there's not a lot of intention to read from this, but if I'm reading a code in the wild, the first thing I try to do is not understand what the code is doing, but understand what the author intended the code to do a just in case those two are not actually the same thing.

Subject:            00:42:57       And if I'm ever unclear on the intention, uh, I may go ahead and just figure out what the code does anyway. Um, but oftentimes I will, if I have the opportunity to, I'll ask the author, what is the purpose of this function? What is it doing? Right now when I'm writing code, the approach that I usually take involves actually writing out comments first, uh, to outline the algorithm and what it's going to do. And then I go back and write the code in. Um, when I think about what the code needs to do to achieve the result, uh, I'm not, I'm not really working backwards because, um, I, I kind of work from the start and the end and then work into the middle, right? Like, because when I'm writing code I need to worry about the inputs as well. So I look at the inputs and outputs and I, and I think of the ways I could transform the input."
4168,32141,32369,Experienced vs Inexperienced,"And this is probably one of those examples of junior versus senior code, right? Junior developer would write that because it's clever. Senior code would just put it on, just put it on a separate line because it's easier to read."
4168,31892,32369,Notices Transformation Correctly,"Subject:            00:44:57       This is what I feel should have been easier to read. Then the last one because the increment, because this statement, the plus plus shows on its own line and you can clearly see that that's a separate line. I see. And this is probably one of those examples of junior versus senior code, right? Junior developer would write that because it's clever. Senior code would just put it on, just put it on a separate line because it's easier to read."
4168,31892,32369,Discussion Question,"Subject:            00:44:57       This is what I feel should have been easier to read. Then the last one because the increment, because this statement, the plus plus shows on its own line and you can clearly see that that's a separate line. I see. And this is probably one of those examples of junior versus senior code, right? Junior developer would write that because it's clever. Senior code would just put it on, just put it on a separate line because it's easier to read."
4168,32674,32824,Causes of Confusion," And it's not that it's ambiguous or anything, it just that it takes a couple extra seconds to process and make sure that you did interpret correctly."
4168,32825,33112,Potential Confusing Constructs,"Especially when you mix multiple operators together, then you have to work out which operator comes before which operator. So here you just have one operator, the plus sign and then in a completely separate statement, another operator plus plus there you had plus mixed in with plus plus"
4168,33114,33239,Remember,"So part of it is trying to remember which, which uh, which unary operator is a comes before, um, which one takes effect after"
4168,33114,33350,Causes of Confusion,"So part of it is trying to remember which, which uh, which unary operator is a comes before, um, which one takes effect after. But part of it is also just the mixing of operators into one statement also actually makes it harder to read."
4168,33620,33669,Previously Seen,"Yeah, that's because I've seen that enough times."
4168,33670,33810,Experienced vs Inexperienced,"I know what it is, but I also know that maybe someone with less experience would have more trouble, would have, might get caught up on that."
4168,33823,34012,Causes of Confusion,"This is almost as long as you know, a plus plus means you don't even have to remember whether it comes before or after, whereas there you do need to remember the specifics of that operator."
4168,33823,34013,Remember,"This is almost as long as you know, a plus plus means you don't even have to remember whether it comes before or after, whereas there you do need to remember the specifics of that operator.
"
4168,35233,35295,Contrasting different languages,Especially since not all programming languages will do it like
4168,35304,35398,Alternative Idioms,"if you use a typed constant then it won't, then it won't do that, they will evaluate it first."
4168,35601,35661,Top-down comprehension,"well, the thing I thought of immediately was typed constants"
4168,35670,35697,Unsure, I don't know if C has them
4168,35671,35736,C vs C++,"I don't know if C has them, but in C++ there's the const keyword."
4168,35601,35775,Alternative Idioms,"well, the thing I thought of immediately was typed constants, uh, in, I don't know if C has them, but in C++ there's the const keyword. You say const int M1 equals 3 minus 1."
4168,35880,36303,Apparent Contradiction,"some other programming languages. Oh yeah. And PHP, if you use the define function that defines a constant and in that situation because you're doing a function call, then the arguments do have to get evaluated before the function can be called. And I know that the subtraction would be evaluated before they function call to define the constant. And I know the concept would be defined after the evaluation of subtraction."
4168,35880,36303,PHP,"some other programming languages. Oh yeah. And PHP, if you use the define function that defines a constant and in that situation because you're doing a function call, then the arguments do have to get evaluated before the function can be called. And I know that the subtraction would be evaluated before they function call to define the constant. And I know the concept would be defined after the evaluation of subtraction."
4168,35880,36303,Contrasting different languages,"some other programming languages. Oh yeah. And PHP, if you use the define function that defines a constant and in that situation because you're doing a function call, then the arguments do have to get evaluated before the function can be called. And I know that the subtraction would be evaluated before they function call to define the constant. And I know the concept would be defined after the evaluation of subtraction."
4168,36388,36437,Conflating Macros with Constants,some other languages. Don't really have constants
4168,36439,36475,Python,Python doesn't really have constants
4168,36480,36501,Javascript,neither does Javascri
4168,36439,36658,Alternative Idioms,"Python doesn't really have constants and neither does Javascript, in which case you would, if you wanted to do something like this, you would be making a variable instead and then it just becomes like any other variable"
4168,36388,36788,Contrasting different languages,"some other languages. Don't really have constants. Python doesn't really have constants and neither does Javascript, in which case you would, if you wanted to do something like this, you would be making a variable instead and then it just becomes like any other variable. The subtraction is evaluated first. I'm actually not too sure about Java. It's been a while since I've done constants with Java."
4168,36696,36788,Unsure,I'm actually not too sure about Java. It's been a while since I've done constants with Java.
4168,36696,36788,Java,I'm actually not too sure about Java. It's been a while since I've done constants with Java.
4168,36899,36902,PHP,php
4168,36903,36909,Python,python
4168,37119,37214,Remember,"Yeah. Yeah. I, this, I, this just happens to be one of the quirks that I remember about C++ for"
4168,37307,37889,Learned from Mistake,"from experience really, because I think I ran into this problem once where I was getting the wrong value in a statement that used a that used a macro and I wasn't really sure why. Um, and then what happened was after banging my head for a few hours, um, I figure I found out, I looked up the command with GCC to simply print out the preprocessed a C++. So the output of the preprocessor but without compiling. So just the preprocessor output. And I looked at it and I saw and I looked at the statement, I saw that you macro substituted in and I said, oh, okay, that makes sense now."
4168,37143,38148,Anecdote,"this just happens to be one of the quirks that I remember about C++ for

Interviewer:        00:49:53       you, remember from?

Subject:            00:49:54       from experience really, because I think I ran into this problem once where I was getting the wrong value in a statement that used a that used a macro and I wasn't really sure why. Um, and then what happened was after banging my head for a few hours, um, I figure I found out, I looked up the command with GCC to simply print out the preprocessed a C++. So the output of the preprocessor but without compiling. So just the preprocessor output. And I looked at it and I saw and I looked at the statement, I saw that you macro substituted in and I said, oh, okay, that makes sense now.

Subject:            00:50:41       So I think it's because I spent so much time figuring, figuring out that one problem that I just, it got burned into my head. Like that's how C++ works. But that was also a long time ago. So I wasn't 100 percent confident."
4168,38079,38148,Long ago,But that was also a long time ago. So I wasn't 100 percent confident.
4168,38079,38148,Unsure,But that was also a long time ago. So I wasn't 100 percent confident.
4168,38332,38419,Learned from Mistake," Yeah, from just making that mistake. It wasn't like anybody told me that it does this."
4168,39657,39740,Learned by Internet Search,"I finally came across the stack overflow post that, uh, explained what was going on"
4168,38503,40170,Python," I remember another big mistake that I made in python was that for optional arguments to a function if the argument, well, any value, anytime you specify a value that is the default value that makes the argument optional, uh, which is how it works in many programming languages, but the value for the default or the default values are evaluated in python at the time that the function is defined, not when the function is called.

Subject:            00:51:43       So if you have a mutable object as a default value, say an empty list as a default value. Every time you call that function, it's referencing the same mutable list as an all the previous calls, as long as you haven't specified a value to override the default value. So every time you call that function, if you're just letting it, if you haven't overwritten the default value, yeah, it's just going and using that same list. Even though you might expect it to start over with an empty list, every time you start, every time you call the function, without overriding that default argument. Yeah, that was another huge mistake that I ran into and spent quite a few hours on in python until I finally came across the stack overflow post that, uh, explained what was going on. And then after I read it, I said, oh yeah, that makes. That makes sense.

Interviewer:        00:52:32       Sure. But it's not necessarily what you expect.

Subject:            00:52:33       It's not what I expected. So I get it now, I understand why they did it that way, but it was definitely not what I expected. And this is one of those things as well where you wouldn't expect the 1 to bind to the 2 here, but it does it."
4168,38503,40170,Potential Confusing Constructs," I remember another big mistake that I made in python was that for optional arguments to a function if the argument, well, any value, anytime you specify a value that is the default value that makes the argument optional, uh, which is how it works in many programming languages, but the value for the default or the default values are evaluated in python at the time that the function is defined, not when the function is called.

Subject:            00:51:43       So if you have a mutable object as a default value, say an empty list as a default value. Every time you call that function, it's referencing the same mutable list as an all the previous calls, as long as you haven't specified a value to override the default value. So every time you call that function, if you're just letting it, if you haven't overwritten the default value, yeah, it's just going and using that same list. Even though you might expect it to start over with an empty list, every time you start, every time you call the function, without overriding that default argument. Yeah, that was another huge mistake that I ran into and spent quite a few hours on in python until I finally came across the stack overflow post that, uh, explained what was going on. And then after I read it, I said, oh yeah, that makes. That makes sense.

Interviewer:        00:52:32       Sure. But it's not necessarily what you expect.

Subject:            00:52:33       It's not what I expected. So I get it now, I understand why they did it that way, but it was definitely not what I expected. And this is one of those things as well where you wouldn't expect the 1 to bind to the 2 here, but it does it."
4168,38503,40170,Learned from Mistake," I remember another big mistake that I made in python was that for optional arguments to a function if the argument, well, any value, anytime you specify a value that is the default value that makes the argument optional, uh, which is how it works in many programming languages, but the value for the default or the default values are evaluated in python at the time that the function is defined, not when the function is called.

Subject:            00:51:43       So if you have a mutable object as a default value, say an empty list as a default value. Every time you call that function, it's referencing the same mutable list as an all the previous calls, as long as you haven't specified a value to override the default value. So every time you call that function, if you're just letting it, if you haven't overwritten the default value, yeah, it's just going and using that same list. Even though you might expect it to start over with an empty list, every time you start, every time you call the function, without overriding that default argument. Yeah, that was another huge mistake that I ran into and spent quite a few hours on in python until I finally came across the stack overflow post that, uh, explained what was going on. And then after I read it, I said, oh yeah, that makes. That makes sense.

Interviewer:        00:52:32       Sure. But it's not necessarily what you expect.

Subject:            00:52:33       It's not what I expected. So I get it now, I understand why they did it that way, but it was definitely not what I expected. And this is one of those things as well where you wouldn't expect the 1 to bind to the 2 here, but it does it."
4168,38503,40170,Anecdote," I remember another big mistake that I made in python was that for optional arguments to a function if the argument, well, any value, anytime you specify a value that is the default value that makes the argument optional, uh, which is how it works in many programming languages, but the value for the default or the default values are evaluated in python at the time that the function is defined, not when the function is called.

Subject:            00:51:43       So if you have a mutable object as a default value, say an empty list as a default value. Every time you call that function, it's referencing the same mutable list as an all the previous calls, as long as you haven't specified a value to override the default value. So every time you call that function, if you're just letting it, if you haven't overwritten the default value, yeah, it's just going and using that same list. Even though you might expect it to start over with an empty list, every time you start, every time you call the function, without overriding that default argument. Yeah, that was another huge mistake that I ran into and spent quite a few hours on in python until I finally came across the stack overflow post that, uh, explained what was going on. And then after I read it, I said, oh yeah, that makes. That makes sense.

Interviewer:        00:52:32       Sure. But it's not necessarily what you expect.

Subject:            00:52:33       It's not what I expected. So I get it now, I understand why they did it that way, but it was definitely not what I expected. And this is one of those things as well where you wouldn't expect the 1 to bind to the 2 here, but it does it."
4168,39935,40170,Design Concerns,"It's not what I expected. So I get it now, I understand why they did it that way, but it was definitely not what I expected. And this is one of those things as well where you wouldn't expect the 1 to bind to the 2 here, but it does it."
4168,38504,40170,Language Expectations,"I remember another big mistake that I made in python was that for optional arguments to a function if the argument, well, any value, anytime you specify a value that is the default value that makes the argument optional, uh, which is how it works in many programming languages, but the value for the default or the default values are evaluated in python at the time that the function is defined, not when the function is called.

Subject:            00:51:43       So if you have a mutable object as a default value, say an empty list as a default value. Every time you call that function, it's referencing the same mutable list as an all the previous calls, as long as you haven't specified a value to override the default value. So every time you call that function, if you're just letting it, if you haven't overwritten the default value, yeah, it's just going and using that same list. Even though you might expect it to start over with an empty list, every time you start, every time you call the function, without overriding that default argument. Yeah, that was another huge mistake that I ran into and spent quite a few hours on in python until I finally came across the stack overflow post that, uh, explained what was going on. And then after I read it, I said, oh yeah, that makes. That makes sense.

Interviewer:        00:52:32       Sure. But it's not necessarily what you expect.

Subject:            00:52:33       It's not what I expected. So I get it now, I understand why they did it that way, but it was definitely not what I expected. And this is one of those things as well where you wouldn't expect the 1 to bind to the 2 here, but it does it."
4168,40607,40701,Combined multiple elements,this syntax where you have two statements surrounded by parentheses and separated with a comma
4168,40607,40753,Not Previously Seen,"this syntax where you have two statements surrounded by parentheses and separated with a comma and you say. Yeah, I've never seen that in C before"
4168,40600,40772,Unfamiliar Syntax,"it was this syntax where you have two statements surrounded by parentheses and separated with a comma and you say. Yeah, I've never seen that in C before. Okay. Hands down."
4168,40546,40772,Discussion Question,"Subject:            00:53:17       Yeah, it was this, it was this syntax where you have two statements surrounded by parentheses and separated with a comma and you say. Yeah, I've never seen that in C before. Okay. Hands down."
4168,41179,41264,Social Context of Code,"Well, because as javascript and javascript is known for doing things really strangely"
4168,41179,41385,Javascript,"Well, because as javascript and javascript is known for doing things really strangely, so you don't know how much of it inherited from other languages and how much of it is just Javascript being Javascript."
4168,41179,41385,Unsure,"Well, because as javascript and javascript is known for doing things really strangely, so you don't know how much of it inherited from other languages and how much of it is just Javascript being Javascript."
4168,41266,41385,Inferring semantics from other language,so you don't know how much of it inherited from other languages and how much of it is just Javascript being Javascript.
4168,41585,41627,Snippet Value Judgement,I wouldn't write this myself in javascript
4168,41648,41701,Unsure,"Even in Javascript, I wouldn't be 100 percent on this"
4168,41707,41773,Previously Seen,"I've seen output from the Google's, from Google's Closure compiler"
4168,41707,41773,Learned by Reading Code,"I've seen output from the Google's, from Google's Closure compiler"
4168,41573,41773,Would Have Written it Differently,"Right. Now, I wouldn't write this myself in javascript. So even not. Yeah. Even in Javascript, I wouldn't be 100 percent on this, but I've seen output from the Google's, from Google's Closure compiler"
4168,41859,42408,Javascript,"Closure compiler, and it will take if you have several successive statements and only the value of the last one matters. Closure compiler will sometimes take those statements and smash them together into this little sandwich here and only the value of the last statement gets returned, if you will, and not really function but gets returned out of these parentheses. So I thought, well, okay, it's possible that this is one of those things that javascript inherited instead of just made up. And I thought, well, okay, maybe that's how it works in C."
4168,41859,42408,Correct Semantics,"Closure compiler, and it will take if you have several successive statements and only the value of the last one matters. Closure compiler will sometimes take those statements and smash them together into this little sandwich here and only the value of the last statement gets returned, if you will, and not really function but gets returned out of these parentheses. So I thought, well, okay, it's possible that this is one of those things that javascript inherited instead of just made up. And I thought, well, okay, maybe that's how it works in C."
4168,41859,42408,Inferring semantics from other language,"Closure compiler, and it will take if you have several successive statements and only the value of the last one matters. Closure compiler will sometimes take those statements and smash them together into this little sandwich here and only the value of the last statement gets returned, if you will, and not really function but gets returned out of these parentheses. So I thought, well, okay, it's possible that this is one of those things that javascript inherited instead of just made up. And I thought, well, okay, maybe that's how it works in C."
4168,42491,42528,Unsure,But I obviously I don't actually know
4168,43222,43284,Incorrect Semantics,That also wouldn't have made sense because V2 was of type int.
4168,43126,43284,Counterfactual Semantics," And for a second, someone might read it as V2 equals and then read that as one unit 1 comma 2. That also wouldn't have made sense because V2 was of type int."
4168,43126,43284,Precedence," And for a second, someone might read it as V2 equals and then read that as one unit 1 comma 2. That also wouldn't have made sense because V2 was of type int."
4168,44385,44466,Guessing,"I mean, I don't know. It came. A lot of this came down to just intuitive guessing"
4168,44580,44672,Language Expectations,but I guess I've seen enough C++ to kind of know what the conventions of the language maybe.
4168,44580,44672,Style,but I guess I've seen enough C++ to kind of know what the conventions of the language maybe.
4168,44580,44672,Learned by Reading Code,but I guess I've seen enough C++ to kind of know what the conventions of the language maybe.
4168,44790,44827,Style,But there's a philosophy surrounding.
4168,45724,45777,Non-standard terminology,"  Oh yeah, that's the word I was looking for in line."
4168,45828,46054,Maintainability,"Once again, going back to how I was saying that, you know, I can, this is a way to look for useless code and I do that a lot actually. So I'm used to finding. I'm used to finding code that is unreachable such as the else block"
4168,46185,46425,Apparent Contradiction," And it was also necessary to work backwards, right? Because you know, only one of these statements is going to get executed. So if you're, if I'm working backwards, I need to figure out which, which statement is the one that gets executed."
4168,47060,47142,Dependency,you realize neither of them depends on the value that was assigned to V1 initially
4168,47888,48116,Complex,"Oh yeah. If there were nested if blocks. Um, yeah, there were a nested. If blocks then it might get kind of complex to read things backwards now if there was just more code, but it was, but there were no, there was no branching."
4168,48349,48490,Professional vs Academic," in the real world you don't see too much of, of conditionals that are constant because people usually are smart enough not to code like that"
4168,48689,48766,Top-down comprehension,but this is also another way to try to understand the programmers intentions.
